,open,high,low,close,volume,value
2024-04-28 09:00:00,746.7,755.0,730.5,731.9,85811384.63715234,63886995859.57635
2024-04-29 09:00:00,732.1,741.4,712.0,737.1,173844130.83822536,126325025662.37022
2024-04-30 09:00:00,737.1,743.4,700.3,718.0,198698846.5340682,142997165448.81207
2024-05-01 09:00:00,718.2,741.7,680.0,739.2,306321404.0792757,216516215756.75742
2024-05-02 09:00:00,739.5,743.0,715.0,728.5,133840381.78970708,97580714799.9696
2024-05-03 09:00:00,728.7,758.3,726.9,753.7,187254373.77576986,138722069394.7042
2024-05-04 09:00:00,753.7,765.0,742.0,750.2,122991847.3883023,92654652512.86168
2024-05-05 09:00:00,750.1,751.7,736.4,745.0,71547942.8414825,53329405346.334305
2024-05-06 09:00:00,745.0,798.8,737.7,758.0,247128283.51259968,189106322272.97104
2024-05-07 09:00:00,758.6,764.0,735.1,737.9,146118982.53803188,110110948579.34326
2024-05-08 09:00:00,737.9,744.1,721.2,725.2,153476148.0413132,112599349853.23042
2024-05-09 09:00:00,725.2,731.8,714.0,727.8,122103178.2375468,88366513358.39998
2024-05-10 09:00:00,727.8,727.8,700.8,709.0,171099937.60091585,122243846599.38055
2024-05-11 09:00:00,709.0,714.7,705.1,712.8,61766648.93362468,43866904652.50451
2024-05-12 09:00:00,713.6,716.8,702.0,703.3,58287866.84606987,41396214898.9073
2024-05-13 09:00:00,703.4,714.3,686.1,706.2,160406575.065552,112438137973.44771
2024-05-14 09:00:00,705.8,719.0,697.6,703.4,112331857.18313108,79452816698.22983
2024-05-15 09:00:00,703.4,723.3,699.0,721.3,149875795.27671877,106533631807.99016
2024-05-16 09:00:00,721.3,726.0,714.1,717.1,113982848.58127575,81893219241.2384
2024-05-17 09:00:00,717.3,730.0,715.2,724.4,96800325.58000524,69849821892.93542
2024-05-18 09:00:00,724.1,729.0,721.2,724.5,57952360.85015965,42020138845.47317
2024-05-19 09:00:00,724.6,726.8,706.2,709.0,79781880.86405881,57135535577.61055
2024-05-20 09:00:00,709.0,734.0,703.5,733.3,166247980.82331893,119646171064.79138
2024-05-21 09:00:00,733.3,767.4,726.6,740.8,240130940.94240156,178355192333.9839
2024-05-22 09:00:00,740.8,742.0,722.9,726.6,118290613.15454616,86595422504.8213
2024-05-23 09:00:00,726.6,763.8,710.0,738.7,305800034.00448924,224373081881.59454
2024-05-24 09:00:00,738.7,749.7,724.6,744.1,169453380.66937903,125160847000.40996
2024-05-25 09:00:00,744.1,754.2,741.8,752.1,92403961.57918108,69070373146.73067
2024-05-26 09:00:00,752.1,752.7,736.0,736.3,81229391.32163931,60535782967.66089
2024-05-27 09:00:00,736.5,746.5,730.5,738.9,108180967.86262283,79920711057.82732
2024-05-28 09:00:00,739.0,739.9,723.8,731.6,104796072.4765809,76777308566.04955
2024-05-29 09:00:00,731.4,739.1,724.0,728.2,147491166.30603364,107935555832.23746
2024-05-30 09:00:00,728.2,731.9,716.1,721.9,161629532.0891653,117125434594.95103
2024-05-31 09:00:00,722.1,734.4,719.6,724.4,110628193.67037874,80198971788.48962
2024-06-01 09:00:00,724.3,729.8,723.0,726.0,38738718.54642917,28155134532.31972
2024-06-02 09:00:00,725.9,727.8,716.1,720.2,58203480.45139127,42078315303.211136
2024-06-03 09:00:00,720.2,727.3,718.0,725.1,72305958.69409654,52290616842.98271
2024-06-04 09:00:00,724.6,733.8,721.8,727.2,87866523.32901554,63895274455.46869
2024-06-05 09:00:00,727.2,735.7,725.5,728.3,94332891.27621844,68769977029.39049
2024-06-06 09:00:00,728.0,733.1,722.1,725.0,110858654.3865047,80672103061.11026
2024-06-07 09:00:00,725.0,731.9,660.0,704.3,192477002.27096105,136155836303.82785
2024-06-08 09:00:00,704.3,706.6,694.0,698.0,80906367.74813233,56696311591.52228
2024-06-09 09:00:00,698.1,702.5,696.0,700.7,49813379.9090553,34805086262.35838
2024-06-10 09:00:00,700.7,706.9,691.7,695.3,76320754.3617799,53269773087.61562
2024-06-11 09:00:00,695.3,696.2,670.0,680.8,145323305.23279253,99073356124.93335
2024-06-12 09:00:00,680.8,699.7,670.1,690.2,132962127.36650932,91121172280.2101
2024-06-13 09:00:00,690.2,690.8,675.4,676.4,84415911.69737463,57764322347.040115
2024-06-14 09:00:00,676.5,681.0,662.3,675.7,104094224.37463728,70166989544.41191
2024-06-15 09:00:00,675.5,714.9,674.0,695.6,75259936.7937706,51860798923.27254
2024-06-16 09:00:00,695.5,707.5,689.8,691.1,78362985.75037861,54622615209.29719
2024-06-17 09:00:00,691.2,731.0,682.3,710.5,304441150.40078884,215428112421.6383
2024-06-18 09:00:00,710.5,718.6,671.0,689.8,236740259.85388845,164392339115.97388
2024-06-19 09:00:00,690.9,703.6,685.0,695.5,103264170.42450073,71806009436.4705
2024-06-20 09:00:00,695.6,708.2,691.5,691.6,111708015.94433182,78099213265.02089
2024-06-21 09:00:00,691.6,698.6,678.6,688.6,99677394.14697783,68723120886.59279
2024-06-22 09:00:00,688.7,690.9,685.1,688.6,36902108.47315229,25390210582.32946
2024-06-23 09:00:00,688.6,691.0,674.2,676.4,54726317.94087882,37402236791.257996
2024-06-24 09:00:00,676.5,680.2,656.1,671.5,159111763.91503736,106388204877.91579
2024-06-25 09:00:00,671.6,678.1,667.5,672.9,101630079.37271571,68335272583.112114
2024-06-26 09:00:00,672.9,675.6,659.5,664.0,94497158.72926003,63103553994.11592
2024-06-27 09:00:00,664.0,671.4,656.1,668.7,82955901.10688733,55027209975.62602
2024-06-28 09:00:00,668.8,675.0,663.0,665.0,72716385.1033031,48681249831.312996
2024-06-29 09:00:00,665.0,671.0,664.1,665.8,29648609.1233747,19804066922.16003
2024-06-30 09:00:00,665.8,669.9,660.9,667.5,41480720.88498486,27615154343.824314
2024-07-01 09:00:00,667.5,679.5,666.2,670.2,74405876.18937162,50021503875.30026
2024-07-02 09:00:00,670.2,686.1,668.5,681.2,78565586.21405306,53288853694.957214
2024-07-03 09:00:00,681.2,684.7,655.0,662.3,117442117.55499312,79045433712.58536
2024-07-04 09:00:00,662.5,665.3,619.2,619.9,214640202.57685655,137357039552.03998
2024-07-05 09:00:00,619.9,620.7,560.2,608.6,330724577.4632731,194816347301.4453
2024-07-06 09:00:00,608.6,639.7,603.0,637.6,93268544.79066372,57782830119.264084
2024-07-07 09:00:00,637.7,639.0,595.2,596.9,100675294.51336032,61963114748.251854
2024-07-08 09:00:00,597.0,628.0,578.0,612.5,165742911.97017643,100174398523.44818
2024-07-09 09:00:00,612.5,618.8,608.7,615.7,87782538.94456278,53912824793.01029
2024-07-10 09:00:00,615.7,625.3,611.1,621.7,103753375.83722554,64145842322.8165
2024-07-11 09:00:00,621.6,639.0,619.5,634.2,115398205.3429554,72605152065.1225
2024-07-12 09:00:00,634.8,676.0,629.4,667.4,213779502.5791656,140133690190.4378
2024-07-13 09:00:00,668.2,791.7,666.1,736.6,504496710.1213672,367780815973.1035
2024-07-14 09:00:00,737.0,758.6,720.0,730.5,295219462.80635965,217935627335.72516
